AREA_TITLE,PRIM_STATE,OCC_TITLE,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
New York,NY,Database Architects,"3,780",7.1,0.403,1.02,69.30,"144,140",1.6,39.77,53.28,68.38,83.88,97.05,"82,730","110,820","142,230","174,480","201,860",,
New York,NY,Data Scientists,"16,390",2.7,1.745,1.38,64.82,"134,830",1.1,32.15,41.77,61.96,82.68,102.09,"66,870","86,890","128,890","171,970","212,360",,
North Carolina,NC,Database Administrators,"2,480",9.5,0.517,1.03,50.23,"104,480",3.5,27.61,33.84,50.48,63.33,73.10,"57,440","70,380","104,990","131,730","152,060",,
North Carolina,NC,Database Architects,"3,330",9.2,0.695,1.76,58.87,"122,460",6.5,32.83,45.00,60.51,70.91,82.35,"68,290","93,600","125,860","147,500","171,280",,
North Carolina,NC,Data Scientists,"6,640",5.0,1.385,1.09,60.55,"125,950",1.5,31.84,45.54,61.03,74.74,86.64,"66,220","94,720","126,940","155,460","180,220",,
North Dakota,ND,Database Administrators,120,13.7,0.280,0.56,39.74,"82,660",4.4,22.15,26.90,35.75,53.20,61.82,"46,070","55,940","74,350","110,650","128,580",,
North Dakota,ND,Database Architects,60,6.5,0.139,0.35,51.08,"106,250",3.7,39.28,48.22,49.87,57.83,59.60,"81,700","100,300","103,730","120,290","123,960",,
North Dakota,ND,Data Scientists,240,25.0,0.567,0.45,49.24,"102,410",5.4,28.51,38.71,54.63,57.69,60.81,"59,300","80,510","113,620","120,000","126,480",,
Ohio,OH,Database Administrators,"1,930",8.1,0.352,0.70,45.61,"94,860",1.9,23.30,31.86,45.44,60.72,68.08,"48,460","66,260","94,510","126,290","141,600",,
Ohio,OH,Database Architects,"1,880",7.8,0.343,0.87,58.47,"121,620",1.6,37.90,48.00,61.17,65.55,79.07,"78,830","99,850","127,230","136,350","164,470",,
Ohio,OH,Data Scientists,"4,660",4.5,0.852,0.67,46.89,"97,530",0.9,25.36,33.07,46.67,59.46,68.27,"52,740","68,790","97,070","123,690","141,990",,
Oklahoma,OK,Database Administrators,780,5.5,0.468,0.93,41.13,"85,550",1.6,22.52,28.20,36.89,52.87,63.46,"46,830","58,650","76,720","109,970","131,990",,
Oklahoma,OK,Database Architects,420,12.8,0.254,0.64,57.66,"119,940",4.9,34.86,40.40,53.40,70.61,88.91,"72,510","84,020","111,070","146,860","184,940",,
Oklahoma,OK,Data Scientists,"2,130",7.5,1.281,1.01,44.72,"93,020",3.2,25.33,32.53,40.29,56.07,72.23,"52,690","67,660","83,810","116,620","150,230",,
Oregon,OR,Database Administrators,910,10.1,0.468,0.93,49.55,"103,070",2.6,28.67,36.48,47.35,61.40,70.72,"59,630","75,870","98,480","127,720","147,090",,
Oregon,OR,Database Architects,540,17.5,0.279,0.71,63.68,"132,460",2.8,39.61,50.90,64.90,71.27,86.80,"82,390","105,880","134,980","148,240","180,530",,
Oregon,OR,Data Scientists,"2,640",5.7,1.360,1.07,59.85,"124,480",2.3,31.18,40.13,55.24,75.42,88.51,"64,850","83,460","114,910","156,870","184,090",,
Pennsylvania,PA,Database Administrators,"2,820",19.1,0.474,0.94,48.15,"100,160",1.9,27.52,35.47,46.68,60.27,69.64,"57,230","73,780","97,100","125,350","144,850",,
Pennsylvania,PA,Database Architects,"2,290",6.7,0.386,0.98,58.63,"121,960",2.9,27.87,42.21,60.47,73.76,84.81,"57,960","87,790","125,790","153,420","176,400",,
Pennsylvania,PA,Data Scientists,"7,490",10.6,1.259,0.99,49.22,"102,370",2.7,25.38,33.72,46.76,61.27,77.05,"52,780","70,150","97,260","127,440","160,270",,
Rhode Island,RI,Database Administrators,280,19.2,0.568,1.13,51.76,"107,670",7.6,30.80,40.79,53.14,60.21,66.21,"64,060","84,840","110,540","125,240","137,710",,
Rhode Island,RI,Database Architects,100,28.4,0.202,0.51,56.98,"118,510",1.7,44.45,48.40,56.24,64.51,72.22,"92,450","100,670","116,980","134,170","150,210",,
Rhode Island,RI,Data Scientists,900,13.7,1.848,1.46,61.24,"127,380",4.3,36.33,46.75,61.71,74.67,85.01,"75,570","97,250","128,350","155,310","176,820",,
South Carolina,SC,Database Administrators,790,5.6,0.357,0.71,48.76,"101,420",3.0,30.19,35.91,46.00,58.20,73.59,"62,800","74,700","95,680","121,060","153,080",,
South Carolina,SC,Database Architects,850,11.4,0.384,0.97,60.74,"126,340",3.3,27.41,47.66,62.51,76.81,85.79,"57,000","99,130","130,020","159,770","178,440",,
South Carolina,SC,Data Scientists,"2,090",11.0,0.942,0.74,48.46,"100,790",1.3,29.14,35.82,45.82,57.45,73.48,"60,600","74,510","95,310","119,500","152,830",,
South Dakota,SD,Database Administrators,150,7.4,0.347,0.69,40.05,"83,290",1.6,28.80,33.65,40.53,47.83,51.71,"59,910","69,990","84,300","99,480","107,570",,
South Dakota,SD,Database Architects,50,27.0,0.121,0.31,55.87,"116,210",3.0,45.77,48.58,54.53,62.36,63.43,"95,210","101,040","113,410","129,720","131,930",,
South Dakota,SD,Data Scientists,150,12.6,0.328,0.26,47.09,"97,940",3.0,30.85,40.35,43.97,54.82,64.41,"64,160","83,930","91,460","114,030","133,970",,
Tennessee,TN,Database Administrators,"1,650",9.3,0.512,1.02,50.24,"104,490",4.4,25.75,35.29,51.73,63.34,73.18,"53,560","73,410","107,600","131,740","152,210",,
Tennessee,TN,Database Architects,560,11.2,0.174,0.44,57.47,"119,530",3.2,33.10,46.40,57.69,69.59,78.74,"68,850","96,520","120,000","144,740","163,780",,
Tennessee,TN,Data Scientists,"2,090",26.0,0.648,0.51,46.97,"97,710",8.5,17.08,28.99,44.42,60.09,71.44,"35,520","60,300","92,400","124,990","148,580",,
Texas,TX,Database Administrators,"6,900",6.9,0.509,1.02,48.31,"100,490",3.9,20.20,30.57,49.05,64.18,73.22,"42,010","63,580","102,010","133,500","152,300",,
Texas,TX,Database Architects,"5,900",9.5,0.435,1.10,67.10,"139,570",2.2,42.32,54.14,66.39,80.48,87.37,"88,020","112,600","138,090","167,400","181,740",,
Texas,TX,Data Scientists,"20,560",5.0,1.517,1.20,52.40,"109,000",1.2,24.79,36.57,48.12,65.05,80.36,"51,550","76,060","100,100","135,310","167,160",,
Utah,UT,Database Administrators,650,4.1,0.388,0.77,46.97,"97,700",2.4,23.01,32.35,44.56,60.18,73.50,"47,850","67,290","92,680","125,170","152,870",,
Utah,UT,Database Architects,"2,090",15.1,1.244,3.15,69.90,"145,400",5.4,55.94,68.96,71.73,71.73,79.05,"116,340","143,430","149,200","149,200","164,430",,
Utah,UT,Data Scientists,"3,530",7.1,2.105,1.66,48.93,"101,780",2.9,24.87,33.26,46.87,61.35,79.13,"51,740","69,180","97,490","127,600","164,580",,
Vermont,VT,Database Administrators,120,23.3,0.400,0.80,47.80,"99,430",5.2,28.70,38.11,48.14,57.94,62.83,"59,700","79,270","100,120","120,520","130,680",,
Vermont,VT,Database Architects,70,31.7,0.230,0.58,73.34,"152,540",11.4,46.18,50.74,62.48,91.62,91.73,"96,060","105,550","129,950","190,560","190,800",,
Vermont,VT,Data Scientists,220,18.7,0.735,0.58,59.82,"124,430",8.4,36.00,38.51,56.49,71.65,96.73,"74,890","80,100","117,500","149,030","201,190",,
Virginia,VA,Database Administrators,"4,780",10.6,1.202,2.40,52.78,"109,790",7.6,25.00,33.23,49.34,66.17,84.19,"52,000","69,130","102,630","137,640","175,120",,
Virginia,VA,Database Architects,"4,680",35.4,1.177,2.98,68.89,"143,300",8.3,41.87,51.83,66.49,80.51,98.24,"87,080","107,810","138,300","167,450","204,340",,
Virginia,VA,Data Scientists,"4,810",4.6,1.209,0.95,66.87,"139,080",1.3,36.05,48.40,65.62,85.32,101.56,"74,980","100,680","136,490","177,460","211,250",,
Washington,WA,Database Administrators,"2,050",6.1,0.586,1.17,56.11,"116,710",2.0,30.89,39.01,52.64,73.72,80.34,"64,260","81,140","109,490","153,330","167,110",,
Washington,WA,Database Architects,"3,080",28.4,0.882,2.24,74.25,"154,430",10.8,48.45,52.16,69.67,92.00,103.44,"100,780","108,480","144,910","191,360","215,150",,
Washington,WA,Data Scientists,"5,640",5.3,1.613,1.27,71.50,"148,730",1.3,36.99,47.40,63.76,84.65,108.62,"76,940","98,590","132,620","176,080","225,920",,
West Virginia,WV,Database Administrators,230,6.9,0.327,0.65,35.85,"74,570",3.1,23.84,25.94,31.17,42.72,53.99,"49,590","53,950","64,830","88,860","112,290",,
West Virginia,WV,Database Architects,90,26.9,0.126,0.32,49.78,"103,550",12.8,26.77,29.01,34.74,80.83,85.83,"55,680","60,340","72,260","168,130","178,520",,
West Virginia,WV,Data Scientists,180,24.3,0.266,0.21,45.35,"94,330",10.6,21.64,22.08,32.53,47.86,89.03,"45,020","45,930","67,660","99,560","185,190",,
Wisconsin,WI,Database Administrators,"1,110",5.0,0.386,0.77,46.08,"95,840",1.5,28.26,34.01,44.00,55.74,67.35,"58,780","70,740","91,520","115,930","140,090",,
Wisconsin,WI,Database Architects,410,11.0,0.143,0.36,62.59,"130,180",1.8,42.91,52.92,64.43,69.14,83.88,"89,260","110,080","134,020","143,800","174,460",,
Wisconsin,WI,Data Scientists,"3,090",5.7,1.070,0.84,50.60,"105,250",1.4,32.47,39.56,48.96,60.12,67.78,"67,540","82,280","101,850","125,050","140,980",,
Wyoming,WY,Database Administrators,120,16.7,0.425,0.85,39.72,"82,620",5.9,21.46,31.01,38.19,51.86,57.69,"44,640","64,490","79,430","107,870","120,000",,
Wyoming,WY,Database Architects,120,1.3,0.426,1.08,29.39,"61,130",0.9,23.30,24.92,27.70,30.73,33.64,"48,470","51,840","57,610","63,920","69,970",,
Wyoming,WY,Data Scientists,**,**,**,**,60.25,"125,330",15.8,34.64,54.64,62.68,72.55,73.02,"72,050","113,640","130,370","150,900","151,880",,
Puerto Rico,PR,Database Administrators,290,18.4,0.317,0.63,27.32,"56,830",3.8,15.44,20.35,24.45,31.99,42.30,"32,110","42,320","50,850","66,530","87,980",,
Puerto Rico,PR,Database Architects,100,26.3,0.104,0.26,35.38,"73,590",3.2,27.98,29.35,31.01,39.79,47.84,"58,200","61,050","64,500","82,760","99,510",,
Puerto Rico,PR,Data Scientists,90,16.3,0.097,0.08,34.65,"72,070",3.3,20.35,27.93,36.48,39.76,40.41,"42,330","58,100","75,880","82,710","84,040",,
